,year,artist,song,points
204,2015,Jess Glynne,Hold My Hand,2000
205,2015,Calvin Harris Featuring Ellie Goulding,Outside,2200
206,2015,Mr. Probz,Waves,2390
207,2015,Galantis,Runaway (U & I),2620
208,2015,Zedd Featuring Selena Gomez,I Want You To Know,2793
209,2015,Zedd Featuring Jon Bellion,Beautiful Now,2869
210,2015,Deorro & Chris Brown,Five More Hours,2903
211,2015,Kygo Featuring Conrad,Firestone,2914
212,2015,Kygo Featuring Parson James,Stole The Show,2963
213,2015,The Chainsmokers Featuring Rozes,Roses,2982
214,2015,Avicii,Waiting For Love,3007
215,2015,Major Lazer Featuring Ellie Goulding & Tarrus Riley,Powerful,3088
216,2015,Lillywood & Robin Schulz,Prayer In C,3129
217,2015,Dawin,Dessert,3149
218,2015,Avicii,The Nights,3151
219,2015,Madonna Featuring Nicki Minaj,B**** I'm Madonna,3153
220,2015,Years & Years,King,3175
221,2015,AronChupa,I'm An Albatraoz,3185
222,2015,Felix Jaehn Featuring Jasmine Thompson,Ain't Nobody (Loves Me Better),3195
223,2015,Calvin Harris & Disciples,How Deep Is Your Love,3208
224,2015,Martin Garrix Featuring Usher,Don't Look Down,3213
225,2015,Galantis,Peanut Butter Jelly,3243
226,2015,Calvin Harris Featuring HAIM,Pray To God,3301
227,2015,Calvin Harris Featuring John Newman,Blame,3358
228,2015,Audien Featuring Lady Antebellum,Something Better,3391
229,2015,Disclosure Featuring Sam Smith,Omen,3426
230,2015,Lost Frequencies,Are You With Me,3475
231,2015,Robin Schulz Featuring Francesco Yates,Sugar,3500
232,2015,Tiesto & KSHMR Featuring Vassy,Secrets,3527
233,2015,Afrojack Featuring Mike Taylor,SummerThing!,3597
234,2015,Sam Feldt Featuring Kimberly Anne,Show Me Love,3639
235,2015,Ariana Grande Featuring Zedd,Break Free,3652
236,2015,Alesso Featuring Roy English,Cool,3653
237,2015,Robin Schulz Featuring Ilsey,Headlights,3683
238,2015,Jeremih Featuring Flo Rida,Tonight Belongs To U!,3733
239,2015,Clean Bandit Featuring Jess Glynne,Rather Be,3804
240,2015,Armin van Buuren Featuring Mr. Probz,Another You,3812
241,2015,Madonna,Living For Love,3817
242,2015,Calvin Harris Featuring Big Sean,Open Wide,3817
243,2015,Martin Solveig & GTA,Intoxicated,3822
244,2015,Disclosure Featuring Gregory Porter,Holding On,3833
