,year,artist,song,points
1158,1969,Nat Stuckey,Sweet Thang And Cisco,4399
1159,1969,Nat Stuckey,Joe And Mabel's 12th Street Bar And Grill,4404
1160,1969,Willie Nelson,Bring Me Sunshine,4406
1161,1970,Conway Twitty,Hello Darlin',3543
1162,1970,Ray Price,For The Good Times/Grazin' In Greener Pastures,3619
1163,1970,Jack Blanchard & Misty Morgan,Tennessee Bird Walk,3662
1164,1970,Billy Walker,When A Man Loves A Woman (The Way That I Love You),3755
1165,1970,Charley Pride,Is Anybody Goin' To San Antone,3770
1166,1970,Charley Pride,Wonder Could I Live There Anymore,3795
1167,1970,Marty Robbins,"My Woman, My Woman, My Wife",3820
1168,1970,David Houston,I Do My Swinging At Home,3837
1169,1970,Tammy Wynette,He Loves Me All The Way,3870
1170,1970,Mel Tillis,Heart Over Mind,3904
1171,1970,George Hamilton IV,She's A Little Bit Country,3911
1172,1970,Dave Dudley,The Pool Shark,3919
1173,1970,Johnny Cash,Sunday Morning Coming Down,3920
1174,1970,Anne Murray,SNOWBIRD,3925
1175,1970,Dolly Parton,Mule Skinner Blues (Blue Yodel No. 8),3939
1176,1970,Roy Drusky,Long Long Texas Road,3953
1177,1970,Sonny James,My Love,3962
1178,1970,Sonny James,Don't Keep Me Hangin' On,3965
1179,1970,Jerry Lee Lewis,There Must Be More To Love Than This,3978
1180,1970,Tammy Wynette,"Run, Woman, Run",3982
1181,1970,Merle Haggard And The Strangers,The Fightin' Side Of Me,3988
1182,1970,Charley Pride,I Can't Believe That You've Stopped Loving Me,3989
1183,1970,"Hank Williams, Jr. & Mike Curb Congregation",All For The Love Of Sunshine,3992
1184,1970,Faron Young,If I Ever Fall In Love (With A Honky Tonk Girl),3995
1185,1970,Waylon Jennings,The Taker,3995
1186,1970,Loretta Lynn,You Wanna Give Me A Lift,4019
1187,1970,Johnny Cash & June Carter,If I Were A Carpenter,4020
1188,1970,Buck Owens,The Kansas City Song,4022
1189,1970,Bobby Bare,How I Got To Memphis,4022
1190,1970,Bill Anderson,Love Is A Sometimes Thing,4027
1191,1970,Glen Campbell,It's Only Make Believe,4032
1192,1970,Bill Anderson,Someday We'll Be Together,4035
1193,1970,David Houston,Wonders Of The Wine,4039
1194,1970,Jim Reeves,Angels Don't Lie,4043
1195,1970,Sonny James,It's Just A Matter Of Time,4043
1196,1970,Lynn Anderson,Stay There 'til I Get There,4043
1197,1970,Tammy Wynette,I'll See Him Through,4047
1198,1970,Jerry Lee Lewis,Once More With Feeling,4064
1199,1970,Johnny Cash,What Is Truth,4066
1200,1970,Ray Price,You Wouldn't Know Love,4078
1201,1970,Jerry Lee Lewis,I Can't Seem To Say Goodbye,4082
1202,1970,Porter Wagoner And Dolly Parton,Daddy Was An Old Time Preacher Man,4084
1203,1970,Conway Twitty,Fifteen Years Ago,4089
1204,1970,Mel Tillis,Heaven Everyday,4097
1205,1970,Connie Smith,I Never Once Stopped Loving You,4099
1206,1970,Loretta Lynn,I Know How,4110
1207,1970,Merle Haggard And The Strangers,"Jesus, Take A Hold",4113
1208,1970,Roy Clark,I Never Picked Cotton,4139
1209,1970,Glen Campbell,Honey Come Back,4150
1210,1970,Tommy Cash,Rise And Shine,4151
1211,1970,Sonny James,Endlessly,4155
1212,1970,Roy Clark,Thank God And Greyhound,4156
1213,1970,Porter Wagoner And Dolly Parton,Tomorrow Is Forever,4158
1214,1970,Merle Haggard,I Can't Be Myself/Sidewalks Of Chicago,4166
1215,1970,Faron Young,Occasional Wife,4168
1216,1970,David Houston,After Closing Time,4169
1217,1970,Conway Twitty,That's When She Started To Stop Loving You,4169
1218,1970,Waylon Jennings,Singer Of Sad Songs,4180
1219,1970,Tom T. Hall,Shoeshine Man,4190
1220,1970,Tom T. Hall,A Week In A Country Jail,4191
1221,1970,George Jones,Tell Me My Lying Eyes Are Wrong,4192
1222,1970,Bobbie Gentry & Glen Campbell,All I Have To Do Is Dream,4195
1223,1970,Marty Robbins,Jolie Girl,4199
1224,1970,Jack Blanchard & Misty Morgan,Humphrey The Camel,4203
1225,1970,Arlene,Lovin' Man (Oh Pretty Woman),4205
1226,1970,Bobby Lewis,Hello Mary Lou,4209
1227,1970,Kenny Price,Biloxi,4237
1228,1970,Tom T. Hall,Salute To A Switchblade,4240
1229,1970,Jack Greene,The Whole World Comes To Me/If This Is Love,4244
1230,1970,Buck Owens,The Great White Horse,4247
1231,1970,Jean Shepard,Then He Touched Me,4254
1232,1970,Ferlin Husky,Heavenly Sunshine,4270
1233,1970,Tommy Cash,One Song Away,4271
1234,1970,Glen Campbell,Everything A Man Could Ever Need,4275
1235,1970,Guy Drake,Welfare Cadilac,4277
1236,1970,Billie Jo Spears,Marty Gray,4282
