,year,artist,song,points
167,2006,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,3935
168,2006,Justin Timberlake Featuring T.I.,My Love,3948
169,2006,JoJo,Too Little Too Late,3953
170,2006,The Black Eyed Peas,My Humps,4019
171,2006,The Pussycat Dolls,Stickwitu,4024
172,2006,Kanye West Featuring Jamie Foxx,Gold Digger,4029
173,2006,Nickelback,Photograph,4034
174,2006,The Black Eyed Peas,Pump It,4046
175,2006,Carrie Underwood,"Jesus, Take The Wheel",4054
176,2006,Akon Featuring Eminem,Smack That,4072
177,2006,The Pussycat Dolls Featuring will.i.am,Beep,4072
178,2006,Rascal Flatts,Life Is A Highway,4075
179,2006,The Killers,When You Were Young,4100
180,2006,Diddy Featuring Nicole Scherzinger,Come To Me,4120
181,2006,Keyshia Cole,Love,4136
182,2006,T.I.,Why You Wanna,4141
183,2006,Beyonce Featuring Jay Z,Deja Vu,4144
184,2006,Teddy Geiger,For You I Will (Confidence),4146
185,2006,Ne-Yo,When You're Mad,4154
186,2006,Fall Out Boy,"Sugar, We're Goin' Down",4197
187,2006,Carrie Underwood,Before He Cheats,4205
188,2006,P!nk,Stupid Girls,4210
189,2006,Lifehouse,You And Me,4212
190,2006,Bow Wow Featuring J-Kwon & Jermaine Dupri,Fresh Azimiz,4240
191,2006,Fergie,Fergalicious,4243
192,2006,The Wreckers,Leave The Pieces,4249
193,2006,Kenny Chesney,Summertime,4270
194,2006,D4L,Laffy Taffy,4284
195,2006,Juelz Santana,There It Go! (The Whistle Song),4286
196,2006,Tim McGraw,When The Stars Go Blue,4287
197,2006,Ray J,One Wish,4288
198,2006,Unk,Walk It Out,4307
199,2006,Heartland,I Loved Her First,4333
200,2007,Carrie Underwood,Before He Cheats,1686
201,2007,Fergie,Big Girls Don't Cry,2125
202,2007,Gwen Stefani Featuring Akon,The Sweet Escape,2162
203,2007,T-Pain Featuring Yung Joc,Buy U A Drank (Shawty Snappin'),2411
204,2007,Plain White T's,Hey There Delilah,2509
205,2007,Daughtry,Home,2622
206,2007,Timbaland Featuring Keri Hilson,The Way I Are,2631
207,2007,Rihanna Featuring Jay-Z,Umbrella,2721
208,2007,Nickelback,Rockstar,2900
209,2007,Fergie Featuring Ludacris,Glamorous,3013
210,2007,Soulja Boy Tell'em,Crank That (Soulja Boy),3033
211,2007,Avril Lavigne,Girlfriend,3073
212,2007,Elliott Yamin,Wait For You,3181
213,2007,Maroon 5,Makes Me Wonder,3189
214,2007,Nelly Furtado,Say It Right,3203
215,2007,Daughtry,It's Not Over,3209
216,2007,Kanye West,Stronger,3223
217,2007,Fall Out Boy,Thnks Fr Th Mmrs,3299
218,2007,P!nk,U + Ur Hand,3318
219,2007,Akon,Don't Matter,3339
220,2007,Justin Timberlake,What Goes Around...Comes Around,3362
221,2007,Gym Class Heroes Featuring Patrick Stump,Cupid's Chokehold/Breakfast In America,3380
222,2007,P!nk,Who Knew,3386
223,2007,T-Pain Featuring Akon,Bartender,3444
224,2007,Beyonce,Irreplaceable,3481
225,2007,Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To Me,3481
226,2007,J. Holiday,Bed,3490
227,2007,Mims,This Is Why I'm Hot,3502
228,2007,Linkin Park,What I've Done,3504
229,2007,Baby Bash Featuring T-Pain,Cyclone,3538
230,2007,Shop Boyz,Party Like A Rockstar,3559
231,2007,Finger Eleven,Paralyzer,3570
232,2007,Colbie Caillat,Bubbly,3577
233,2007,Sean Kingston,Beautiful Girls,3587
234,2007,The Fray,How To Save A Life,3591
235,2007,Keyshia Cole Featuring Missy Elliott & Lil Kim,Let It Go,3599
236,2007,Huey,"Pop, Lock & Drop It",3623
237,2007,Unk,Walk It Out,3655
238,2007,Plies Featuring T-Pain,Shawty,3660
239,2007,Fabolous Featuring Ne-Yo,Make Me Better,3668
240,2007,Nickelback,If Everyone Cared,3672
241,2007,Diddy Featuring Keyshia Cole,Last Night,3678
242,2007,Justin Timberlake,Summer Love,3680
243,2007,50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology,3688
244,2007,Taylor Swift,Teardrops On My Guitar,3718
245,2007,Boys Like Girls,The Great Escape,3724
246,2007,Timbaland Featuring OneRepublic,Apologize,3726
247,2007,The Red Jumpsuit Apparatus,Face Down,3740
248,2007,Lloyd,Get It Shawty,3742
249,2007,Baby Boy Da Prince Featuring Lil Boosie,The Way I Live,3768
250,2007,Alicia Keys,No One,3782
251,2007,Robin Thicke,Lost Without U,3823
252,2007,Hurricane Chris,A Bay Bay,3832
253,2007,Lloyd Featuring Lil Wayne,You,3837
254,2007,Akon Featuring Snoop Dogg,I Wanna Love You,3837
255,2007,Lifehouse,First Time,3865
256,2007,Fall Out Boy,"This Ain't A Scene, It's An Arms Race",3868
257,2007,Omarion,Ice Box,3878
258,2007,Kanye West Featuring T-Pain,Good Life,3887
259,2007,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),I'm A Flirt,3889
260,2007,matchbox twenty,How Far We've Come,3898
