,year,artist,song,points,duration
200,2014,Ne-Yo Featuring Juicy J,She Knows,4281,296.52
201,2014,Sevyn Streeter,nEXt,4282,175.237
202,2014,Chris Brown,X,4362,234.324
203,2014,Janelle Monae Featuring Miguel,PrimeTime,4382,213.6
204,2014,Ne-Yo Featuring Jeezy,Money Can't Buy,4384,360.16
205,2014,Robin Thicke,For The Rest Of My Life,4387,231.986
206,2014,Robin Thicke,Get Her Back,4445,190.533
207,2014,Trey Songz,What's Best For You,4471,218.5
208,2014,Tamar Braxton Featuring Future,Let Me Know,4473,215.38
209,2014,Toni Braxton & Babyface,Hurt You,4476,230.026
210,2014,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,4480,263.826
211,2014,August Alsina Featuring Jeezy,Make It Home,4481,272.026
212,2014,Jasmine V Featuring Kendrick Lamar,That's Me Right There,4483,208.502
213,2014,Mary J. Blige,Whole Damn Year,4589,251.809
214,2014,Mariah Carey,You're Mine (Eternal),4617,224.106
215,2014,Kem,It's You,4621,212.606
216,2014,Justin Timberlake,TKO,4639,424.146
217,2014,Beyonce Featuring Drake,Mine,4667,231.706
218,2014,August Alsina Featuring Rich Homie Quan Or Yo Gotti,Ghetto,4695,261.133
219,2014,Usher Featuring Juicy J,I Don't Mind,4698,269.663
220,2014,Maejor Ali Featuring Juicy J & Justin Bieber,Lolly,4699,225.506
221,2014,Ledisi,I Blame You,4705,254.506
222,2014,Chris Brown Featuring Akon,Came To Do,4705,228.36
223,2014,August Alsina Featuring Trinidad James,I Luv This Sh*t,4709,266.146
224,2014,R. Kelly Featuring 2 Chainz,My Story,4761,278.32
225,2014,Mack Wilds,Own It,4764,251.973
226,2014,Chris Brown Featuring Nicki Minaj,Love More,4771,189.706
227,2014,AverySunshine,Call My Name,4778,198.508
228,2014,K. Michelle,Love 'Em All,4841,245.866
229,2014,Chris Brown Featuring Kendrick Lamar,Autumn Leaves,4850,267.15
230,2014,"George Tandy, Jr.",March,4854,244.511
231,2014,Tyga & Justin Bieber,Wait For A Minute,4854,207.013
232,2014,Michael Jackson,Slave To The Rhythm,4914,255.986
233,2014,Beyonce,7/11,4954,213.506
234,2014,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,4994,226.58
235,2014,Kevin Ross,This Is My Wish,5005,244.013
236,2014,Alicia Keys Featuring Kendrick Lamar,It's On Again,5012,229.827
