,date,rank,artist,song,year
15,2013-02-02,16,Cazzette,Beam Me Up (Kill-Mode),2013
16,2013-02-02,17,Calvin Harris Featuring Ellie Goulding,I Need Your Love,2013
17,2013-02-02,18,Usher,Numb,2013
18,2013-02-02,19,Skrillex Featuring Ellie Goulding,Summit,2013
19,2013-02-02,20,Havana Brown Featuring R3hab,Big Banana,2013
20,2013-02-02,21,Asaf Avidan / Wankelmut,One Day / Reckoning Song,2013
21,2013-02-02,22,Rihanna Featuring David Guetta,Right Now,2013
22,2013-02-02,23,Sam And The Womp!,Bom Bom,2013
23,2013-02-02,24,Skrillex,Right In,2013
24,2013-02-02,25,DJ Fresh Featuring Sian Evans,Louder,2013
25,2013-02-02,26,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle,2013
26,2013-02-02,27,Lenny Kravitz,Superlove,2013
27,2013-02-02,28,David Guetta Featuring Ne-Yo & Akon,Play Hard,2013
28,2013-02-02,29,Ne-Yo,Forever Now,2013
29,2013-02-02,30,The Cataracs Featuring Sky Blu,Alcohol,2013
30,2013-02-02,31,Knife Party,Bonfire,2013
31,2013-02-02,32,Eric Prydz,Every Day,2013
32,2013-02-02,33,Eric Turner vs Avicii,Dancing In My Head,2013
33,2013-02-02,34,David Guetta Featuring Taped Rai,Just One Last Time,2013
34,2013-02-02,35,deadmau5 Featuring Gerard Way,Professional Griefers,2013
35,2013-02-02,36,RedFoo,Bring Out The Bottles,2013
36,2013-02-02,37,Hardwell Featuring Amba Shepherd,Apollo,2013
37,2013-02-02,38,Delerium,Days Turn Into Nights,2013
38,2013-02-02,39,NERO,Doomsday,2013
39,2013-02-02,40,Skrillex & Wolfgang Gartner,The Devil's Den,2013
40,2013-02-02,41,Madeon,The City,2013
41,2013-02-02,42,Spandau Ballet,Gold 2012,2013
42,2013-02-02,43,Lindsey Stirling,Crystallize,2013
43,2013-02-02,44,Calvin Harris Featuring Ayah Marar,Thinking About You,2013
44,2013-02-02,45,"Crystal Waters, Nicola Fasano, Steve Forest",A Love I Call My Own,2013
45,2013-02-02,46,Rudimental Featuring John Newman,Feel The Love,2013
46,2013-02-02,47,Madeon,Finale,2013
47,2013-02-02,48,Otto Knows,Million Voices,2013
48,2013-02-02,49,Kaskade Featuring Neon Trees,Lessons In Love,2013
49,2013-02-02,50,C2C,Down The Road,2013
0,2013-02-23,1,will.i.am & Britney Spears,Scream & Shout,2013
1,2013-02-23,2,Swedish House Mafia Featuring John Martin,Don't You Worry Child,2013
2,2013-02-23,3,Calvin Harris Featuring Florence Welch,Sweet Nothing,2013
3,2013-02-23,4,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),2013
4,2013-02-23,5,PSY,Gangnam Style,2013
5,2013-02-23,6,Pitbull Featuring Christina Aguilera,Feel This Moment,2013
6,2013-02-23,7,Icona Pop Featuring Charli XCX,I Love It,2013
7,2013-02-23,8,Zedd Featuring Foxes,Clarity,2013
8,2013-02-23,9,Ludacris Featuring Usher & David Guetta,Rest Of My Life,2013
9,2013-02-23,10,Avicii vs Nicky Romero,I Could Be The One,2013
10,2013-02-23,11,Krewella,Alive,2013
11,2013-02-23,12,Baauer,Harlem Shake,2013
12,2013-02-23,13,David Guetta Featuring Sia,She Wolf (Falling To Pieces),2013
13,2013-02-23,14,Ne-Yo,Forever Now,2013
14,2013-02-23,15,Zedd Featuring Matthew Koma,Spectrum,2013
15,2013-02-23,16,Afrojack Featuring Chris Brown,As Your Friend,2013
16,2013-02-23,17,Swedish House Mafia,Greyhound,2013
