,year,artist,song,points
205,1988,Raphael,TOCO MADERA,2626
206,1988,Los Bukis,Y AHORA TE VAS,2647
207,1988,Julio Iglesias,Todo El Amor Que Te Hace Falta,2811
208,1988,Jose Feliciano,CUANDO EL AMOR SE ACABA,3016
209,1988,Franco,MARIA,3078
210,1988,Emmanuel,LA ULTIMA LUNA,3085
211,1988,Los Bukis,Tus Mentiras,3168
212,1988,Jose Luis Rodriguez,SUENO CONTIGO,3240
213,1988,Jose Javier Solis,Me estoy volviendo loco,3240
214,1988,Isabel Pantoja,QUERIENDO Y NO,3245
215,1988,Marisela,YA NO,3261
216,1988,Lalo Rodriguez,VEN DEVORAME OTRA VEZ,3263
217,1988,EYDIE GORME Y ROBERTO CARLOS,SENTADO A LA VERA DEL CAMINO,3306
218,1988,Jose Jose,SOY ASI,3310
219,1988,Alvaro Torres,HAZME OLVIDARLA,3316
220,1988,Emmanuel,QUE SERA,3354
221,1988,Daniela Romo,GITANA,3398
222,1988,Yolandita Monge,ESTE AMOR QUE HAY QUE CALLAR,3423
223,1988,Braulio,EL VICIO DE TU BOCA,3431
224,1988,Eddie Santiago,LLUVIA,3447
225,1988,Daniela Romo,ES MEJOR PERDONAR,3476
226,1988,Isabel Pantoja,HAZME TUYA UNA VEZ MAS,3512
227,1988,Laura Flores,Desamor,3528
228,1988,Angela Carrasco,BOCA ROSA,3582
229,1988,Ricardo Montaner,Tan Enamorados,3625
230,1988,Joan Sebastian,MASCARADA,3631
231,1988,Brenda K. Starr,DESAYUNO DE AMOR,3645
232,1988,Los Yonic's,PETALO Y ESPINAS,3649
233,1988,Jorge Muniz,Atrapame y condename,3667
234,1988,Lissette,DESCARTAME,3670
235,1988,Maria Conchita Alonso,Y es que llegaste tu,3676
236,1988,Jose Jose,VERGUENZA ME DA QUERERTE,3678
237,1988,Ana Gabriel,PECADO ORIGINAL,3693
238,1988,Luis Angel,DAME TU AMOR,3697
239,1988,Vicente Fernandez/Vikki Carr,DOS CORAZONES,3701
240,1988,Veronica Castro,MALA NOCHE NO,3701
241,1988,Lissette,COMO DECIRTE,3730
242,1988,Los Bukis,Si Me Recuerdas,3741
243,1988,Roberto Carlos,Negra,3763
244,1988,Jose Jose,Mi Hembra,3805
245,1988,Yuri,CUANDO BAJA LA MAREA,3855
