,year,artist,song,points,duration
3148,2017,Bad Bunny x Jory Boy,No Te Hagas,3889,233.25
3149,2017,La Adictiva Banda San Jose de Mesillas,Durmiendo En El Lugar Equivocado,3891,230.8
3150,2017,Zion & Lennox Featuring Nicky Jam,Mi Tesoro,3907,161.856
3151,2017,La Septima Banda,Se Defiende,3910,150.186
3152,2017,Alfredo Olivas,El Paciente,3911,211.266
3153,2017,El Fantasma y Banda Populares del Llano,Vengo A Aclarar,3926,150.944
3154,2017,Shakira Featuring Nicky Jam,Perro Fiel,3934,195.213
3155,2017,Romeo Santos Featuring Ozuna,Sobredosis,3936,198.332
3156,2017,Wisin,Vacaciones,3937,238.813
3157,2017,Chayanne Featuring Wisin,Que Me Has Hecho,3953,208.2
3158,2017,Ozuna x Anuel AA,Bebe,3983,271.861
3159,2017,Silvestre Dangond Featuring Farruko,Ya No Me Duele Mas,3983,228.226
3160,2017,Julion Alvarez y Su Norteno Banda,Afuera Esta Lloviendo,3991,179.106
3161,2017,Ricky Martin Featuring Maluma,Vente Pa' Ca,3994,259.195
3162,2017,Jacob Forever Featuring Farruko,Quiereme,4008,247.84
3163,2017,Jennifer Lopez Featuring Gente de Zona,Ni Tu Ni Yo,4008,215.88
3164,2017,Pitbull & J Balvin Featuring Camila Cabello,Hey Ma,4038,192.56
3165,2017,Omar Ruiz Featuring Gerardo Ortiz,Ando Bien,4039,144.146
3166,2017,Yandel Featuring Wisin,Como Antes,4040,230.577
3167,2017,Ozuna Featuring Daddy Yankee,No Quiere Enamorarse,4057,213.16
3168,2017,Piso 21 Featuring Maluma,Me Llamas,4067,210.322
3169,2017,Play-N-Skillz Featuring Frankie J And Wisin & Leslie Grace or Becky G & Kap G,Si Una Vez (If I Once),4083,237.919
3170,2017,"Anuel AA Featuring Daddy Yankee, Wisin, Farruko & Zion & Lennox",Sola,4086,307.91
3171,2017,Yandel Featuring Bad Bunny,Explicale,4087,223.146
3172,2017,Ozuna,Te Vas,4089,154.992
3173,2017,Manuel Turizo,Una Lady Como Tu,4094,213.026
3174,2017,Ozuna,Se Preparo,4097,188.08
3175,2017,Banda Carnaval,Ella Es Mi Mujer,4108,163.253
3176,2017,Gente de Zona,Si No Vuelves,4114,215.64
3177,2017,Daddy Yankee & Natti Natasha,Otra Cosa,4122,208.16
3178,2017,Zion & Lennox Featuring J Balvin,Otra Vez,4122,209.453
3179,2017,Don Omar Featuring Sharlene Taule,Encanto,4137,175.28
3180,2017,Raul Casillas,A Poco,4149,178.106
3181,2017,J Alvarez,Esa Boquita,4151,208.28
3182,2017,Chyno Miranda Featuring Wisin y Gente de Zona,Quedate Conmigo,4180,160.752
3183,2017,Juanes,Hermosa Ingrata,4183,181.386
3184,2017,Gerardo Ortiz,Regresa Hermosa,4186,177.365
3185,2017,Luis Coronel,Dime Que Se Siente,4206,206.48
3186,2017,Julion Alvarez y Su Norteno Banda,Esta Noche Se Me Olvida,4223,202.013
3187,2017,Cosculluela,Manicomio,4240,228.666
3188,2017,Voz de Mando,Pa Que No Me Anden Contando,4253,164.16
3189,2017,Jesse & Joy Featuring Gente de Zona,3 A.M.,4255,126.883
3190,2017,Edwin Luna y La Trakalosa de Monterrey,Un Aplauso,4281,154.893
3191,2017,Reik,Que Gano Olvidandote,4281,207.186
3192,2017,"J Balvin Featuring Pharrell Williams, BIA & Sky",Safari,4297,205.6
3193,2017,Daddy Yankee & Bad Bunny,Vuelve,4300,279.613
3194,2017,Banda Carnaval,A Ver A Que Horas,4321,153.68
3195,2017,Arcangel X Bad Bunny,Me Acostumbre,4323,140.983
