,year,artist,song,points,duration
755,1965,Gerry And The Pacemakers,Ferry Cross The Mersey,4375,143.866
756,1965,The Righteous Brothers,Just Once In My Life,4375,227.013
757,1965,Herman's Hermits,"I'm Henry VIII, I Am",4381,110.413
758,1965,The Yardbirds,For Your Love,4383,230.706
759,1965,The Beach Boys,California Girls,4383,160.36
760,1965,Shirley Ellis,The Name Game,4384,164.866
761,1965,Roy Head And The Traits,Treat Her Right,4386,125.893
762,1965,Sonny & Cher,Baby Don't Go,4389,216.653
763,1965,The Moody Blues,Go Now!,4390,192.506
764,1965,Shirley Bassey,Goldfinger,4390,185.026
765,1965,Billy Joe Royal,Down In The Boondocks,4393,153.146
766,1965,Glenn Yarbrough,Baby The Rain Must Fall,4394,139.04
767,1965,The Dave Clark Five,Catch Us If You Can,4395,198.0
768,1965,Horst Jankowski,A Walk In The Black Forest,4397,169.68
769,1965,The Beatles,Eight Days A Week,4398,163.6
770,1965,The Beau Brummels,Just A Little,4401,162.608
771,1965,Ian Whitcomb And Bluesville,You Turn Me On (Turn On Song),4402,163.666
772,1965,Marvin Gaye,I'll Be Doggone,4403,174.333
773,1965,The Lovin' Spoonful,Do You Believe In Magic,4405,125.826
774,1965,Gary Lewis And The Playboys,Save Your Heart For Me,4407,119.186
775,1965,The Kinks,Tired Of Waiting For You,4409,149.851
776,1965,Gary Lewis And The Playboys,Count Me In,4410,189.613
777,1965,Gary Lewis And The Playboys,Everybody Loves A Clown,4412,145.866
778,1965,The Newbeats,"Run, Baby Run (Back Into My Arms)",4414,183.693
779,1965,Tom Jones,It's Not Unusual,4424,119.8
780,1965,Sir Douglas Quintet,She's About A Mover,4428,145.0
781,1965,The Castaways,"Liar, Liar",4429,238.853
782,1965,Herman's Hermits,Wonderful World,4430,165.801
783,1965,Sam Cooke,Shake,4431,219.2
784,1965,Martha & The Vandellas,Nowhere To Run,4435,300.0
785,1965,The Yardbirds,Heart Full Of Soul,4436,147.893
786,1965,Dickey Lee,Laurie (Strange Things Happen),4445,186.693
787,1965,The Kinks,All Day And All Of The Night,4449,141.506
